"","TS","N Execution"
"1",1574416640.336,17
"2",1574416655.336,6
"3",1574416670.336,9
"4",1574416685.336,6
"5",1574416700.336,8
"6",1574416715.336,5
"7",1574416730.336,9
"8",1574416745.336,7
"9",1574416760.336,10
"10",1574416775.336,6
"11",1574416790.336,11
"12",1574416805.336,6
"13",1574416820.336,9
"14",1574416835.336,6
"15",1574416850.336,6
"16",1574416865.336,8
"17",1574416880.336,10
"18",1574416895.336,10
"19",1574416910.336,7
"20",1574416925.336,6
"21",1574416940.336,14
"22",1574416955.336,7
"23",1574416970.336,8
"24",1574416985.336,6
"25",1574417000.336,9
"26",1574417015.336,6
"27",1574417030.336,9
"28",1574417045.336,7
"29",1574417060.336,8
"30",1574417075.336,6
"31",1574417090.336,8
"32",1574417105.336,7
"33",1574417120.336,10
"34",1574417135.336,6
"35",1574417150.336,11
"36",1574417165.336,6
"37",1574417180.336,9
"38",1574417195.336,10
"39",1574417210.336,5
"40",1574417225.336,1
